Organization,Category,Year,Value,Address,Latitude,Longitude
gichd geneva international centre for humanitarian demining,Energy,2022,12.6,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Mobility,2022,106.1,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Consumables,2022,14.9,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Waste,2022,0.2,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Food and  Hotels,2022,90.8,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Energy,2021,16.0,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Mobility,2021,116.0,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Consumables,2021,13.0,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Waste,2021,0.0,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
gichd geneva international centre for humanitarian demining,Food and  Hotels,2021,73.0,"Chemin Eugène-Rigot 2C
1202 Geneva
Switzerland",46.2232015,6.1437187
diplomatic club of geneva,Energy,2022,1.3,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Mobility,2022,0.4,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Consumables,2022,0.0,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Waste,2022,0.0,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Food and  Hotels,2022,2.9,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Energy,2021,0.1,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Mobility,2021,0.4,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Consumables,2021,0.2,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Waste,2021,0.0,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
diplomatic club of geneva,Food and  Hotels,2021,9.9,"Rue de Lausanne 139
1202 Genève
Switzerland",46.217619,6.1481622
permanent mission of the fiji republic,Energy,2022,0.1,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Mobility,2022,15.9,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Consumables,2022,0.1,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Waste,2022,0.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Food and  Hotels,2022,0.5,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Energy,2021,4.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Mobility,2021,1.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Consumables,2021,0.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Waste,2021,0.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Food and  Hotels,2021,2.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Energy,2020,1.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Mobility,2020,23.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Food / Hotels,2020,1.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Waste,2020,0.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
permanent mission of the fiji republic,Consumables,2020,4.0,"Avenue de France 23
1202 Geneva
Switzerland",46.2200491,6.143868
un human rights office of the high commissioner for human rights,Energy,2022,319.8,"Rue Varembé, 3
1202 Genève
Switzerland
",46.22092633253714,6.139227211889732
un human rights office of the high commissioner for human rights,Mobility,2022,1043.0,"Rue Varembé, 3
1202 Genève
Switzerland
",46.22092633253714,6.139227211889732
un human rights office of the high commissioner for human rights,Consumables,2022,19.3,"Rue Varembé, 3
1202 Genève
Switzerland
",46.22092633253714,6.139227211889732
un human rights office of the high commissioner for human rights,Waste,2022,4.9,"Rue Varembé, 3
1202 Genève
Switzerland
",46.22092633253714,6.139227211889732
un human rights office of the high commissioner for human rights,Food and  Hotels,2022,0.0,"Rue Varembé, 3
1202 Genève
Switzerland
",46.22092633253714,6.139227211889732
